214.3,-   سجل المحجوزات بالمحاكم الابتدائية
214.3,-   السجل   العام   لتقييد   ملفات   التنفيذ الزجري
214.3,-   سجل  البطاقة  رقم  (1)  الواردة  على مصلحة السجل العدلي
214.3,-   سجل طلبات البطاقتين رقم 2 و3
214.4,-   كناش خاص بزيارة المحامي بالمحاكم الابتدائية
214.4,-   سجل مراقبة شكايات إهمال الأسرة
214.4,-   سجل   سحب   شهادة   الكفاءة   لقيادة السيارات
214.4,-   سجل طلبات تسخير القوة العمومية
215.1,"-   سجل    قضايا    التحقيق    (المحكمة
الابتدائية)"
215.2,"-   سجل  مراقبة  قضايا  التحقيق  (المحكمة
الابتدائية)"
215.3,"-   سجل قضايا التحقيق للأحداث (المحكمة
الابتدائية)"
215.4,-   سجل  مراقبة  قضايا  التحقيق  للأحداث (المحكمة الابتدائية)
215.5,"-   سجل  قضايا  التحقيق  للرشداء  (غرفة
التحقيق) (محكمة ابتدائية)"
215.6,"-   سجل  قضايا  التحقيق  للرشداء  (النيابة
العامة) (محكمة ابتدائية)"
216.1,-   سجل  الواردات  والصادرات  بالمحاكم الابتدائية
216.2,-   سجل    إحصاء    ومراقبة    السجلات بالمحاكم الابتدائية
216.3,-   سجل الاجتماعات بالمحاكم الابتدائية
216.4,-   سجل الجمعية العامة للمحكمة بالمحاكم الابتدائية
216.5,-   سجل  محاضر  تأدية  اليمين  بالمحاكم الابتدائية
216.6,-   كناش   تداول   الملفات   والوثائق   بين مختلف المصالح بالمحاكم الابتدائية
216.7,-   كناش    العطل    والرخص    بالمحاكم الابتدائية
216.8,-   السجلات المحدثة بالمحاكم الابتدائية
221.1,-   ملف   المساعدة   القضائية   بالمحاكم الابتدائية
221.2,-   ملف التنفيذ الزجري
222.1,-   ملف قضية مدنية
222.2,-   ملف التحفيظ بالمحاكم الابتدائية
222.3,-   ملف الأمر بالأداء بالمحاكم الابتدائية
222.4,-   ملف النيابة القانونية بالمحاكم الابتدائية
222.5,-   ملف  الأمر  بتحديد  الواجبات  المترتبة عن الطلاق
222.6,-   ملف (إعذار – إنذار – معاينة ...)
222.7,-   ملف حجز لدى الغير بالمحاكم الابتدائية
222.8,-   ملف حجز عقاري بالمحاكم الابتدائية
222.9,-   ملف الإفلاسات والتصفيات والتسييرات القضائية
222.1,-   ملف الزواج
222.1,-   ملف طلب إذن الزواج دون سن الأهلية
222.1,-   ملف الطلاق
222.1,"-   ملف   أحوال   شخصية   (قسم   قضاء
الأسرة)"
222.1,-   ملف النفقة
222.2,-   ملف كفالة طفل مهمل
222.2,-   ملف كفالة طفل غير مهمل
222.2,-   ملف النيابة الشرعية بالمحاكم الابتدائية
222.2,"-   ملف     مدني     (قضاء     الجماعات
والمقاطعات)"
223.1,-   ملف الأحداث
223.2,-   ملف الجنح
223.3,-   ملف التلبس
223.4,-   ملف استئناف جنحي
223.5,-   نظير   ملف   النيابة   العامة   بالمحاكم الابتدائية
223.6,-   ملف ملتمس بالعفو
223.7,-   الشكايات    والمحاضر    في    المجال الجنائي
224.1,-   ملف التحقيق بالمحاكم الابتدائية
230.1,-   أصول الأحكام بالمحاكم الابتدائية
310.1,-   مقتطع   مختلفة   بمحاكم   الاستئناف التجارية
310.2,-   مقتطع   ائتمانات   بمحاكم   الاستئناف التجارية
310.3,-   مقتطع   تسييرات   قضائية   بمحاكم الاستئناف التجارية
310.4,"-   مقتطع   الاستخلاصات   المنجزة   من
طرف أعوان التنفيذ بمحاكم الاستئناف التجارية"
310.5,-   سجل  الحسابات  الخصوصية  بمحاكم الاستئناف التجارية
310.6,-   السجل اليومي الجامع للمداخيل بمحاكم الاستئناف التجارية
310.7,"-   السجل   اليومي   للمصاريف   بمحاكم
الاستئناف التجارية"
310.8,"-   دفتر وضعية الصندوق اليومية بمحاكم
الاستئناف التجارية"
310.9,-   سجل ضبط العمليات اليومية للحساب البريدي بمحاكم الاستئناف التجارية
310.1,"-   بيان  دفع  الرسوم  القضائية  بمحاكم
الاستئناف التجارية"
310.1,بيان   دفع   حقوق   المرافعة   بمحاكم الاستئناف التجارية
310.1,دفتر    أوراق    المصاريف    بمحاكم الاستئناف التجارية
310.1,بيان  شخصي  لتصفية  صوائر  التنقل بمحاكم الاستئناف التجارية
310.1,بيان استخلاص صوائر التنقل بمحاكم الاستئناف التجارية
310.2,"مقتطع  الغرامات  بمحاكم  الاستئناف
التجارية"
310.2,سجل تحصيل الرسوم القضائية بمحاكم الاستئناف التجارية
310.2,سجل    تصفية    صوائر    المساعدة القضائية بمحاكم الاستئناف التجارية
310.2,سجل تسجيل وإرسال الأوامر التنفيذية بمحاكم الاستئناف التجارية
310.2,"سجل الأوامر المبنية على طلب
بمحاكم الاستئناف التجارية"
310.2,"سجل الأوامر بالأداء بمحاكم
الاستئناف التجارية"
